Borough	Year	NTA Code	NTA Name	Population
Bronx	2000	BX01	Claremont-Bathgate	"28,149"
Bronx	2000	BX03	Eastchester-Edenwald-Baychester	"35,422"
Bronx	2000	BX05	Bedford Park-Fordham North	"55,329"
Bronx	2000	BX06	Belmont	"25,967"
Bronx	2000	BX07	Bronxdale	"34,309"
Bronx	2000	BX08	West Farms-Bronx River	"34,542"
Bronx	2000	BX09	Soundview-Castle Hill-Clason Point-Harding Park	"50,753"
Bronx	2000	BX10	Pelham Bay-Country Club-City Island	"27,140"
Bronx	2000	BX13	Co-Op City	"40,676"
Bronx	2000	BX14	East Concourse-Concourse Village	"58,961"
Bronx	2000	BX17	East Tremont	"39,280"
Bronx	2000	BX22	North Riverdale-Fieldston-Riverdale	"28,013"
Bronx	2000	BX26	Highbridge	"33,844"
Bronx	2000	BX27	Hunts Point	"25,142"
Bronx	2000	BX28	Van Cortlandt Village	"50,607"
Bronx	2000	BX29	Spuyten Duyvil-Kingsbridge	"29,872"
Bronx	2000	BX30	Kingsbridge Heights	"33,286"
Bronx	2000	BX31	Allerton-Pelham Gardens	"28,510"
Bronx	2000	BX33	Longwood	"23,082"
Bronx	2000	BX34	Melrose South-Mott Haven North	"33,195"
Bronx	2000	BX35	Morrisania-Melrose	"29,797"
Bronx	2000	BX36	University Heights-Morris Heights	"54,335"
Bronx	2000	BX37	Van Nest-Morris Park-Westchester Square	"27,135"
Bronx	2000	BX39	Mott Haven-Port Morris	"49,030"
Bronx	2000	BX40	Fordham South	"26,880"
Bronx	2000	BX41	Mount Hope	"52,649"
Bronx	2000	BX43	Norwood	"40,817"
Bronx	2000	BX44	Williamsbridge-Olinville	"57,420"
Bronx	2000	BX46	Parkchester	"29,353"
Bronx	2000	BX49	Pelham Parkway	"30,006"
Bronx	2000	BX52	Schuylerville-Throgs Neck-Edgewater Park	"43,712"
Bronx	2000	BX55	Soundview-Bruckner	"35,137"
Bronx	2000	BX59	Westchester-Unionport	"25,768"
Bronx	2000	BX62	Woodlawn-Wakefield	"43,583"
Bronx	2000	BX63	West Concourse	"39,557"
Bronx	2000	BX75	Crotona Park East	"18,072"
Bronx	2000	BX98	Rikers Island	"12,780"
Bronx	2000	BX99	park-cemetery-etc-Bronx	540
Brooklyn	2000	BK09	Brooklyn Heights-Cobble Hill	"22,548"
Brooklyn	2000	BK17	Sheepshead Bay-Gerritsen Beach-Manhattn Bch	"64,596"
Brooklyn	2000	BK19	Brighton Beach	"35,244"
Brooklyn	2000	BK21	Seagate-Coney Island	"34,267"
Brooklyn	2000	BK23	West Brighton	"17,370"
Brooklyn	2000	BK25	Homecrest	"45,679"
Brooklyn	2000	BK26	Gravesend	"29,257"
Brooklyn	2000	BK27	Bath Beach	"28,572"
Brooklyn	2000	BK28	Bensonhurst West	"84,640"
Brooklyn	2000	BK29	Bensonhurst East	"58,566"
Brooklyn	2000	BK30	Dyker Heights	"39,332"
Brooklyn	2000	BK31	Bay Ridge	"80,539"
Brooklyn	2000	BK32	Sunset Park West	"52,312"
Brooklyn	2000	BK33	Carroll Gardens-Columbia Street-Red Hook	"38,327"
Brooklyn	2000	BK34	Sunset Park East	"66,150"
Brooklyn	2000	BK35	Stuyvesant Heights	"61,827"
Brooklyn	2000	BK37	Park Slope-Gowanus	"67,263"
Brooklyn	2000	BK38	DUMBO-Vinegar Hill-Downtown Brklyn-Boerum Hill	"30,847"
Brooklyn	2000	BK40	Windsor Terrace	"20,779"
