Store Name	Street Address	Address	Borough	"Zip 
Code"	Year Awarded	"Program 
Wave"	Latitude	Longitude	NTA
SIRAH 1720 LLC	535 MARCY AVE		Brooklyn	11206	2020	8	40.696961	-73.949512	Bedford
FIRST STOP GROCERY INC	643 MARCY AVE		Brooklyn	11206	2020	8	40.692552	-73.948632	Bedford
AANDE DIRECT LLC	40 LEWIS AVE		Brooklyn	11206	2020	8	40.696576	-73.937777	Stuyvesant Heights
CENTRAL ORGANIC	67 CENTRAL AVE		Brooklyn	11206	2020	8	40.701096	-73.930445	Bushwick South
194 THROOP FOOD CORP	777 PARK AVE		Brooklyn	11206	2020	8	40.698191	-73.944311	Bedford
BROADWAY ORGANIC DELI INC	799 BROADWAY		Brooklyn	11206	2020	8	40.699745	-73.940176	Bushwick South
MLD 91 FOOD CORP	91 HUMBOLDT ST		Brooklyn	11206	2020	8	40.704472	-73.941009	East Williamsburg
GRAHAM STOP ONE DELI INC	146 GRAHAM AVE		Brooklyn	11206	2020	8	40.70643	-73.943045	Bushwick South
BOGOPA MANHATTAN INC	21 MANHATTAN AVE		Brooklyn	11206	2020	8	40.702939	-73.944235	East Williamsburg
LEE HEYWARD GROCERY INC	198 LEE AVE		Brooklyn	11206	2020	8	40.701855	-73.955636	Bedford
164 TOMPKIN DELI	164 TOMPKINS ST		Brooklyn	11206	2020	8			
J A TOMPKINS FOOD CORP	920 MYRTLE AVE		Brooklyn	11206	2020	8	40.695814	-73.945344	Bedford
JRM DELI GROCERY CORP	98 MARCUS GARVEY BLVD		Brooklyn	11206	2020	8	40.695505	-73.940544	Stuyvesant Heights
AFS MARKET INC	1102 MYRTLE AVE		Brooklyn	11206	2020	8	40.696817	-73.936605	Stuyvesant Heights
GREEN CORNER OF NY LLC	801 FLUSHING AVE		Brooklyn	11206	2020	8	40.701019	-73.940705	East Williamsburg
726 MEAT MARKET INC	726 BROADWAY		Brooklyn	11206	2020	8	40.701171	-73.942667	Bedford
711 BROOKLYN DELI CORP	711 FLUSHING AVE		Brooklyn	11206	2020	8	40.700485	-73.943959	Bedford
THE LUNCH BOX DELI CORP	204 BUSHWICK AVE		Brooklyn	11206	2020	8	40.708767	-73.940031	Bushwick South
PAULA MARKET AND DELI CORP	276 HUMBOLDT ST		Brooklyn	11206	2020	8	40.711173	-73.942114	East Williamsburg
SEM SEM DELI CORP	75 HUMBOLDT ST		Brooklyn	11206	2020	8	40.704022	-73.940926	East Williamsburg
LORIMER DELI FOOD CORP	400 LORIMER ST		Brooklyn	11206	2020	8	40.708821	-73.948497	East Williamsburg
ORANGE TREE ORGANIC MARKET CORP	121 GRAHAM AVE		Brooklyn	11206	2020	8	40.705994	-73.942995	East Williamsburg
128 T EDGECOMBE DELI CORP	128 EDGECOMBE AVE		New York	10030	2020	8	40.820961	-73.945071	Central Harlem North-Polo Grounds
135 FUTURE LANDM CORP	24 WEST 135TH ST		New York	10037	2020	8	40.813209	-73.938756	Central Harlem North-Polo Grounds
135TH STREET DELI AND GROCERY CORP	266 WEST 135TH ST		New York	10030	2020	8	40.816056	-73.945505	Central Harlem North-Polo Grounds
141 FINEST DELI CORP	332 WEST 141ST ST		New York	10030	2020	8	40.820958	-73.945375	Central Harlem North-Polo Grounds
2278 DELI AND GROCERY INC	2278 7TH AVE		New York	10030	2020	8	40.814546	-73.944268	Central Harlem North-Polo Grounds
477 FOOD CORP	477 LENOX AVE		New York	10037	2020	8	40.813274	-73.94148	Central Harlem North-Polo Grounds
ADAM 1 FOOD CENTER INC	2657 FREDERICK DOUGLAS BLVD		New York	10030	2020	8	40.820741	-73.943464	Central Harlem North-Polo Grounds
BIG APPLE GRILL DELI INC	521 LENOX AVE		New York	10037	2020	8	40.814873	-73.940311	Central Harlem North-Polo Grounds
EL PATIO DELI CORP	2082 MADISON AVE		New York	10037	2020	8	40.809627	-73.93782	Central Harlem North-Polo Grounds
ESAYI CORP	2461 ADAM CLAYTON POWELL JR BLVD		New York	10030	2020	8	40.820418	-73.939952	Central Harlem North-Polo Grounds
FUNFAIR DELI CORP	537 LENOX AVE		New York	10037	2020	8	40.815499	-73.939852	Central Harlem North-Polo Grounds
GOLDEN DELI GROCERY CORP	2210 5TH AVE		New York	10037	2020	8	40.812473	-73.937835	Central Harlem North-Polo Grounds
HARLEM EMPIRE DELI INC	251 WEST 135TH ST		New York	10030	2020	8	40.815938	-73.94518	Central Harlem North-Polo Grounds
JANET FOOD CORP	2630 FREDERICK DOUGLASS BLVD		New York	10030	2020	8	40.819764	-73.944155	Central Harlem North-Polo Grounds
K AND S DELI CORP	429 LENOX AVE		New York	10037	2020	8	40.811888	-73.942496	Central Harlem North-Polo Grounds
LENOX AND 132ND FOOD CORP	448 LENOX AVE		New York	10037	2020	8	40.812396	-73.942095	Central Harlem North-Polo Grounds
LINCOLN DELI GROCERY INC 1	2095 MADISON AVE		New York	10037	2020	8	40.809959	-73.937238	Central Harlem North-Polo Grounds
MANDS FOOD CORP	2482 7TH AVE		New York	10030	2020	8	40.821167	-73.939431	Central Harlem North-Polo Grounds
MR 2497 FOOD CORP	2497 7TH AVE		New York	10030	2020	8	40.821482	-73.939178	Central Harlem North-Polo Grounds
NUNEZ DOMINGO	2591 8TH AVE		New York	10030	2020	8	40.818518	-73.945088	Central Harlem North-Polo Grounds
RIMAR GOURMET DELI INC	2611 FREDERICK DOUGLAS BLVD		New York	10030	2020	8	40.819097	-73.944665	Central Harlem North-Polo Grounds
ROSANNA FOOD CORP	592 LENOX AVE		New York	10037	2020	8	40.817088	-73.938669	Central Harlem North-Polo Grounds
1029 FOOD PLAZA INC	122 EAST 181ST ST		Bronx	10453	2020	8	40.854853	-73.903444	Mount Hope
109 AJ DELI GROCERY CORP	109 EAST TREMONT AVE		Bronx	10453	2020	8	40.850673	-73.907372	Mount Hope
48 BURNSIDE FOOD CORP	40 WEST BURNSIDE AVE		Bronx	10453	2020	8	40.853839	-73.909077	University Heights-Morris Heights
58 BURNSIDE FOOD CORP	58 WEST BURNSIDE AVE		Bronx	10453	2020	8	40.854163	-73.909767	University Heights-Morris Heights
65 BURNSIDE MEAT MARKET CORP	65 EAST BURNSIDE AVE		Bronx	10453	2020	8	40.853367	-73.906146	Mount Hope
ALEX FOOD II CORP	1615 UNIVERSITY AVE		Bronx	10453	2020	8	40.847317	-73.919933	University Heights-Morris Heights
BONAO MEATS AND PRODUCE II INC	82 EAST BURNSIDE AVE		Bronx	10453	2020	8	40.853268	-73.905933	Mount Hope
BURNSIDE AVE FOOD CENTER INC	111 EAST BURNSIDE AVE		Bronx	10453	2020	8	40.853059	-73.905344	Mount Hope
CRUZ MEAT CORP	2262 JEROME AVE		Bronx	10453	2020	8	40.85815	-73.904025	Fordham South
GANDA DELI GROCERY CORP	129 WEST TREMONT AVE		Bronx	10453	2020	8	40.850025	-73.913756	University Heights-Morris Heights
GAVA FOOD CORP	127 WEST BURNSIDE AVE		Bronx	10453	2020	8	40.853829	-73.913899	University Heights-Morris Heights
JD DELI AND PIZZA INC	2207 JEROME AVE		Bronx	10453	2020	8	40.857217	-73.904601	Fordham South
JESSICA SUPERMARKET CORP	1645 GRAND AVE		Bronx	10453	2020	8	40.846985	-73.91513	University Heights-Morris Heights
JULIAN GROCERY CORP	143 WEST BURNSIDE AVE		Bronx	10453	2020	8	40.853898	-73.91434	University Heights-Morris Heights
LA GRAN FAMOSA FOOD MARKET CORP	1704 GRAND AVE		Bronx	10453	2020	8	40.848507	-73.914025	University Heights-Morris Heights
LA PODEROSA GROCERY STORE CORP	27 EAST 175TH ST		Bronx	10453	2020	8	40.847498	-73.911887	Mount Hope
